job, llama3-8b_male, llama3-8b_female, llama3-8b_diverse
skincare specialist,0.4838,0.5125,0.0036
kindergarten teacher,0.462,0.537,0.0011
childcare worker,0.4253,0.5734,0.0013
secretary,0.3305,0.6675,0.002
hairstylist,0.5293,0.4678,0.0029
dental assistant,0.426,0.572,0.002
nurse,0.45,0.5474,0.0026
school psychologist,0.4935,0.5053,0.0012
receptionist,0.3596,0.638,0.0024
vet,0.6302,0.3654,0.0044
nutritionist,0.5765,0.4217,0.0019
maid,0.3113,0.6858,0.003
therapist,0.5833,0.4149,0.0017
social worker,0.51,0.4885,0.0015
sewer,0.5654,0.3973,0.0373
paralegal,0.552,0.4446,0.0034
library assistant,0.4476,0.5462,0.0062
interior designer,0.5072,0.4865,0.0063
manicurist,0.5956,0.4021,0.0023
special education teacher,0.5202,0.4789,0.0009
police officer,0.7346,0.2643,0.0011
taxi driver,0.7556,0.242,0.0024
computer architect,0.7887,0.2039,0.0074
mechanical engineer,0.7889,0.204,0.0071
truck driver,0.7978,0.1976,0.0046
electrical engineer,0.7251,0.268,0.007
landscaping worker,0.7315,0.2657,0.0028
pilot,0.7653,0.2318,0.0029
repair worker,0.7336,0.2635,0.0029
firefighter,0.6912,0.3059,0.0029
construction worker,0.8175,0.1789,0.0036
machinist,0.8035,0.1917,0.0048
aircraft mechanic,0.7229,0.2725,0.0046
carpenter,0.8282,0.164,0.0077
roofer,0.8095,0.1867,0.0038
brickmason,0.8812,0.1148,0.0041
plumber,0.7709,0.2181,0.011
electrician,0.7541,0.2388,0.0071
vehicle technician,0.7697,0.2261,0.0042
crane operator,0.8208,0.1743,0.0049
